year,tournament_name,nation,trophy
1883,Home Nations,England,Champions
1883,Home Nations,England,Triple Crown
1883,Home Nations,England,Calcutta Cup
1884,Home Nations,England,Champions
1884,Home Nations,England,Triple Crown
1884,Home Nations,England,Calcutta Cup
1884,Home Nations,Ireland,Wooden Spoon
1885,Home Nations,Not Completed,Champions
1885,Home Nations,Not Completed,Triple Crown
1885,Home Nations,Not Completed,Calcutta Cup
1886,Home Nations,Scotland,Champions
1886,Home Nations,England,Champions
1887,Home Nations,Scotland,Champions
1887,Home Nations,England,Wooden Spoon
1888,Home Nations,Ireland,Champions
1888,Home Nations,Scotland,Champions
1888,Home Nations,Wales,Champions
1889,Home Nations,Scotland,Champions
1889,Home Nations,Wales,Wooden Spoon
1890,Home Nations,England,Champions
1890,Home Nations,England,Calcutta Cup
1890,Home Nations,Scotland,Champions
1890,Home Nations,Ireland,Wooden Spoon
1891,Home Nations,Scotland,Champions
1891,Home Nations,Scotland,Triple Crown
1891,Home Nations,Scotland,Calcutta Cup
1891,Home Nations,Ireland,Wooden Spoon
1892,Home Nations,England,Champions
1892,Home Nations,England,Triple Crown
1892,Home Nations,England,Calcutta Cup
1892,Home Nations,Wales,Wooden Spoon
1893,Home Nations,Wales,Champions
1893,Home Nations,Wales,Triple Crown
1893,Home Nations,Scotland,Calcutta Cup
1893,Home Nations,Ireland,Wooden Spoon
1894,Home Nations,Ireland,Champions
1894,Home Nations,Ireland,Triple Crown
1894,Home Nations,Scotland,Calcutta Cup
1894,Home Nations,Wales,Wooden Spoon
1895,Home Nations,Scotland,Champions
1895,Home Nations,Scotland,Triple Crown
1895,Home Nations,Scotland,Calcutta Cup
1895,Home Nations,Ireland,Wooden Spoon
1896,Home Nations,Ireland,Champions
1896,Home Nations,Scotland,Calcutta Cup
1896,Home Nations,Wales,Wooden Spoon
1897,Home Nations,England,Calcutta Cup
1897,Home Nations,Not Completed,Champions
1897,Home Nations,Not Completed,Triple Crown
1898,Home Nations,Not Completed,Champions
1898,Home Nations,Not Completed,Triple Crown
1898,Home Nations,Not Completed,Calcutta Cup
1899,Home Nations,Ireland,Champions
1899,Home Nations,Ireland,Triple Crown
1899,Home Nations,Scotland,Calcutta Cup
1899,Home Nations,England,Wooden Spoon
1900,Home Nations,Wales,Champions
1900,Home Nations,Wales,Triple Crown
1900,Home Nations,Ireland,Wooden Spoon
1901,Home Nations,Scotland,Champions
1901,Home Nations,Scotland,Triple Crown
1901,Home Nations,Scotland,Calcutta Cup
1901,Home Nations,England,Wooden Spoon
1902,Home Nations,Wales,Champions
1902,Home Nations,Wales,Triple Crown
1902,Home Nations,England,Calcutta Cup
1902,Home Nations,Scotland,Wooden Spoon
1903,Home Nations,Scotland,Champions
1903,Home Nations,Scotland,Triple Crown
1903,Home Nations,Scotland,Calcutta Cup
1903,Home Nations,England,Wooden Spoon
1904,Home Nations,Scotland,Champions
1904,Home Nations,Scotland,Calcutta Cup
1904,Home Nations,Ireland,Wooden Spoon
1905,Home Nations,Wales,Champions
1905,Home Nations,Wales,Triple Crown
1905,Home Nations,Scotland,Calcutta Cup
1905,Home Nations,England,Wooden Spoon
1906,Home Nations,Ireland,Champions
1906,Home Nations,Wales,Champions
1906,Home Nations,England,Calcutta Cup
1906,Home Nations,England,Wooden Spoon
1907,Home Nations,Scotland,Champions
1907,Home Nations,Scotland,Triple Crown
1907,Home Nations,Scotland,Calcutta Cup
1907,Home Nations,England,Wooden Spoon
1908,Home Nations,Wales,Champions
1908,Home Nations,Wales,Grandslam
1908,Home Nations,Wales,Triple Crown
1908,Home Nations,Scotland,Calcutta Cup
1908,Home Nations,Ireland,Wooden Spoon
1909,Home Nations,Wales,Champions
1909,Home Nations,Wales,Grandslam
1909,Home Nations,Wales,Triple Crown
1909,Home Nations,Scotland,Calcutta Cup
1909,Home Nations,Ireland,Wooden Spoon
1910,Five Nations,England,Champions
1910,Five Nations,England,Calcutta Cup
1910,Five Nations,France,Wooden Spoon
1911,Five Nations,Wales,Champions
1911,Five Nations,Wales,Grandslam
1911,Five Nations,Wales,Triple Crown
1911,Five Nations,England,Calcutta Cup
1911,Five Nations,Scotland,Wooden Spoon
1912,Five Nations,England,Champions
1912,Five Nations,Ireland,Champions
1912,Five Nations,Scotland,Calcutta Cup
1912,Five Nations,France,Wooden Spoon
1913,Five Nations,England,Champions
1913,Five Nations,England,Grandslam
1913,Five Nations,England,Triple Crown
1913,Five Nations,England,Calcutta Cup
1913,Five Nations,France,Wooden Spoon
1914,Five Nations,England,Champions
1914,Five Nations,England,Grandslam
1914,Five Nations,England,Triple Crown
1914,Five Nations,England,Calcutta Cup
1915,Five Nations,World War I,Champions
1915,Five Nations,World War I,Triple Crown
1915,Five Nations,World War I,Calcutta Cup
1916,Five Nations,World War I,Champions
1916,Five Nations,World War I,Triple Crown
1916,Five Nations,World War I,Calcutta Cup
1917,Five Nations,World War I,Champions
1917,Five Nations,World War I,Triple Crown
1917,Five Nations,World War I,Calcutta Cup
1918,Five Nations,World War I,Champions
1918,Five Nations,World War I,Triple Crown
1918,Five Nations,World War I,Calcutta Cup
1919,Five Nations,World War I,Champions
1919,Five Nations,World War I,Triple Crown
1919,Five Nations,World War I,Calcutta Cup
1920,Five Nations,Wales,Champions
1920,Five Nations,Scotland,Champions
1920,Five Nations,England,Champions
1920,Five Nations,England,Calcutta Cup
1920,Five Nations,Ireland,Wooden Spoon
1921,Five Nations,England,Champions
1921,Five Nations,England,Grandslam
1921,Five Nations,England,Triple Crown
1921,Five Nations,England,Calcutta Cup
1921,Five Nations,Ireland,Wooden Spoon
1922,Five Nations,Wales,Champions
1922,Five Nations,England,Calcutta Cup
1922,Five Nations,France,Wooden Spoon
1923,Five Nations,England,Champions
1923,Five Nations,England,Grandslam
1923,Five Nations,England,Triple Crown
1923,Five Nations,England,Calcutta Cup
1924,Five Nations,England,Champions
1924,Five Nations,England,Grandslam
1924,Five Nations,England,Triple Crown
1924,Five Nations,England,Calcutta Cup
1924,Five Nations,Ireland,Wooden Spoon
1924,Five Nations,Wales,Wooden Spoon
1925,Five Nations,Scotland,Champions
1925,Five Nations,Scotland,Grandslam
1925,Five Nations,Scotland,Triple Crown
1925,Five Nations,Scotland,Calcutta Cup
1925,Five Nations,France,Wooden Spoon
1926,Five Nations,Scotland,Champions
1926,Five Nations,Scotland,Calcutta Cup
1926,Five Nations,Ireland,Champions
1926,Five Nations,France,Wooden Spoon
1927,Five Nations,Scotland,Champions
1927,Five Nations,Scotland,Calcutta Cup
1927,Five Nations,Ireland,Champions
1927,Five Nations,France,Wooden Spoon
1928,Five Nations,England,Champions
1928,Five Nations,England,Grandslam
1928,Five Nations,England,Triple Crown
1928,Five Nations,England,Calcutta Cup
1928,Five Nations,France,Wooden Spoon
1929,Five Nations,Scotland,Champions
1929,Five Nations,Scotland,Calcutta Cup
1929,Five Nations,France,Wooden Spoon
1930,Five Nations,England,Champions
1930,Five Nations,Scotland,Wooden Spoon
1931,Five Nations,Wales,Champions
1931,Five Nations,Scotland,Calcutta Cup
1931,Five Nations,England,Wooden Spoon
1932,Home Nations,Ireland,Champions
1932,Home Nations,Wales,Champions
1932,Home Nations,England,Champions
1932,Home Nations,England,Calcutta Cup
1932,Home Nations,Scotland,Wooden Spoon
1933,Home Nations,Scotland,Champions
1933,Home Nations,Scotland,Triple Crown
1933,Home Nations,Scotland,Calcutta Cup
1933,Home Nations,Wales,Wooden Spoon
1934,Home Nations,England,Champions
1934,Home Nations,England,Triple Crown
1934,Home Nations,England,Calcutta Cup
1934,Home Nations,Ireland,Wooden Spoon
1935,Home Nations,Ireland,Champions
1935,Home Nations,Scotland,Calcutta Cup
1935,Home Nations,Scotland,Wooden Spoon
1936,Home Nations,Wales,Champions
1936,Home Nations,England,Calcutta Cup
1936,Home Nations,Scotland,Wooden Spoon
1937,Home Nations,England,Champions
1937,Home Nations,England,Triple Crown
1937,Home Nations,England,Calcutta Cup
1937,Home Nations,Wales,Wooden Spoon
1938,Home Nations,Scotland,Champions
1938,Home Nations,Scotland,Triple Crown
1938,Home Nations,Scotland,Calcutta Cup
1938,Home Nations,Ireland,Wooden Spoon
