country,player,club,forward_or_back,stat,count
France,Dorian Aldegheri,Toulouse,Forward,Metres Gained,6
France,Dorian Aldegheri,Toulouse,Forward,Carries,5
France,Dorian Aldegheri,Toulouse,Forward,Metres Per Carry,1.2
France,Dorian Aldegheri,Toulouse,Forward,Minutes Played,56
France,Dorian Aldegheri,Toulouse,Forward,Points,0
France,Dorian Aldegheri,Toulouse,Forward,Tries,0
France,Dorian Aldegheri,Toulouse,Forward,Try Assists,0
France,Dorian Aldegheri,Toulouse,Forward,Conversions,0
France,Dorian Aldegheri,Toulouse,Forward,Penalty Goals,0
France,Dorian Aldegheri,Toulouse,Forward,Drop Goals,0
France,Dorian Aldegheri,Toulouse,Forward,Defenders Beaten,1
France,Dorian Aldegheri,Toulouse,Forward,Clean Breaks,1
France,Dorian Aldegheri,Toulouse,Forward,Gain Line Successes,2
France,Dorian Aldegheri,Toulouse,Forward,Interceptions,0
France,Dorian Aldegheri,Toulouse,Forward,Passes Made,0
France,Dorian Aldegheri,Toulouse,Forward,Off Loads Made,0
France,Dorian Aldegheri,Toulouse,Forward,Tackles Made,8
France,Dorian Aldegheri,Toulouse,Forward,Missed Tackles,3
France,Dorian Aldegheri,Toulouse,Forward,Turnovers Won,0
France,Dorian Aldegheri,Toulouse,Forward,Turnovers Conceded,1
France,Dorian Aldegheri,Toulouse,Forward,Handling Errors,1
France,Dorian Aldegheri,Toulouse,Forward,Penalties Conceded,4
France,Dorian Aldegheri,Toulouse,Forward,Kicks From Hand,0
France,Dorian Aldegheri,Toulouse,Forward,Kicks Caught,0
France,Dorian Aldegheri,Toulouse,Forward,Successful Lineout Takes,0
France,Dorian Aldegheri,Toulouse,Forward,Stolen Lineouts,0
France,Dorian Aldegheri,Toulouse,Forward,Yellow Cards,1
France,Dorian Aldegheri,Toulouse,Forward,Red Cards,0
France,Demba Bamba,Brive,Forward,Metres Gained,54
France,Demba Bamba,Brive,Forward,Carries,42
France,Demba Bamba,Brive,Forward,Metres Per Carry,1.2857142857142858
France,Demba Bamba,Brive,Forward,Minutes Played,303
France,Demba Bamba,Brive,Forward,Points,0
France,Demba Bamba,Brive,Forward,Tries,0
France,Demba Bamba,Brive,Forward,Try Assists,0
France,Demba Bamba,Brive,Forward,Conversions,0
France,Demba Bamba,Brive,Forward,Penalty Goals,0
France,Demba Bamba,Brive,Forward,Drop Goals,0
France,Demba Bamba,Brive,Forward,Defenders Beaten,14
France,Demba Bamba,Brive,Forward,Clean Breaks,0
France,Demba Bamba,Brive,Forward,Gain Line Successes,22
France,Demba Bamba,Brive,Forward,Interceptions,0
France,Demba Bamba,Brive,Forward,Passes Made,4
France,Demba Bamba,Brive,Forward,Off Loads Made,3
France,Demba Bamba,Brive,Forward,Tackles Made,38
France,Demba Bamba,Brive,Forward,Missed Tackles,5
France,Demba Bamba,Brive,Forward,Turnovers Won,0
France,Demba Bamba,Brive,Forward,Turnovers Conceded,5
France,Demba Bamba,Brive,Forward,Handling Errors,4
France,Demba Bamba,Brive,Forward,Penalties Conceded,8
France,Demba Bamba,Brive,Forward,Kicks From Hand,0
France,Demba Bamba,Brive,Forward,Kicks Caught,0
France,Demba Bamba,Brive,Forward,Successful Lineout Takes,1
France,Demba Bamba,Brive,Forward,Stolen Lineouts,0
France,Demba Bamba,Brive,Forward,Yellow Cards,0
France,Demba Bamba,Brive,Forward,Red Cards,0
France,Camille Chat,Racing 92,Forward,Metres Gained,39
France,Camille Chat,Racing 92,Forward,Carries,10
France,Camille Chat,Racing 92,Forward,Metres Per Carry,3.9
France,Camille Chat,Racing 92,Forward,Minutes Played,82
France,Camille Chat,Racing 92,Forward,Points,5
France,Camille Chat,Racing 92,Forward,Tries,1
France,Camille Chat,Racing 92,Forward,Try Assists,0
France,Camille Chat,Racing 92,Forward,Conversions,0
France,Camille Chat,Racing 92,Forward,Penalty Goals,0
France,Camille Chat,Racing 92,Forward,Drop Goals,0
France,Camille Chat,Racing 92,Forward,Defenders Beaten,4
France,Camille Chat,Racing 92,Forward,Clean Breaks,0
France,Camille Chat,Racing 92,Forward,Gain Line Successes,7
France,Camille Chat,Racing 92,Forward,Interceptions,0
France,Camille Chat,Racing 92,Forward,Passes Made,0
France,Camille Chat,Racing 92,Forward,Off Loads Made,0
France,Camille Chat,Racing 92,Forward,Tackles Made,22
France,Camille Chat,Racing 92,Forward,Missed Tackles,3
France,Camille Chat,Racing 92,Forward,Turnovers Won,1
France,Camille Chat,Racing 92,Forward,Turnovers Conceded,0
France,Camille Chat,Racing 92,Forward,Handling Errors,0
France,Camille Chat,Racing 92,Forward,Penalties Conceded,4
France,Camille Chat,Racing 92,Forward,Kicks From Hand,0
France,Camille Chat,Racing 92,Forward,Kicks Caught,0
France,Camille Chat,Racing 92,Forward,Successful Lineout Takes,0
France,Camille Chat,Racing 92,Forward,Stolen Lineouts,0
France,Camille Chat,Racing 92,Forward,Yellow Cards,1
France,Camille Chat,Racing 92,Forward,Red Cards,0
France,Julien Marchand,Toulouse,Forward,Metres Gained,18
France,Julien Marchand,Toulouse,Forward,Carries,7
France,Julien Marchand,Toulouse,Forward,Metres Per Carry,2.5714285714285716
France,Julien Marchand,Toulouse,Forward,Minutes Played,23
France,Julien Marchand,Toulouse,Forward,Points,0
France,Julien Marchand,Toulouse,Forward,Tries,0
France,Julien Marchand,Toulouse,Forward,Try Assists,0
France,Julien Marchand,Toulouse,Forward,Conversions,0
France,Julien Marchand,Toulouse,Forward,Penalty Goals,0
France,Julien Marchand,Toulouse,Forward,Drop Goals,0
France,Julien Marchand,Toulouse,Forward,Defenders Beaten,3
