player,club,position_detailed,born,height_in_metres,weight_in_kg,forward_or_back,country
Dorian Aldegheri,Toulouse,Prop,"August 4, 1993",1.8,110,Forward,France
Cyril Baille,Toulouse,Prop," September 15, 1993",1.83,113,Forward,France
Demba Bamba,Brive,Prop,"March 17, 1998",1.85,119,Forward,France
Camille Chat,Racing 92,Hooker,"December 18, 1995",1.83,99,Forward,France
Anthony Etrillard,Touloun,Hooker,"March 21, 1993",1.8,108,Forward,France
Jean-Baptiste Gros,Touloun,Prop,"May 29, 1999",1.95,123,Forward,France
Mohamed Haouas,Montpellier,Prop,"June 9, 1994",1.85,118,Forward,France
Julien Marchand,Toulouse,Hooker,"May 10, 1995",1.8,95,Forward,France
Jefferson Poirot,Bordeaux,Prop,"November 1, 1992",1.8,100,Forward,France
Cyril Cazeaux,Bordeaux,"Lock, Flanker"," February 10, 1995",1.97,95,Forward,France
Killian Geraci,Grenoble,"Lock, Flanker","March 25, 1999",1.99,106,Forward,France
Bernard Le Roux,Racing 92,Back-row,"June 4, 1989",1.91,100,Forward,France
Boris Palu,Racing 92,"Lock, Flanker","February 4, 1996",1.93,109,Forward,France
Romain Taofifenua,Touloun,Lock,"September 14, 1990",2.01,139,Forward,France
Paul Willemse,Montpellier,Lock,"November 13, 1992",2.01,127,Forward,France
Gregory Alldritt,La Rochelle,"Flanker, No. 8","March 23, 1997",1.91,111,Forward,France
Dylan Cretin,Lyon,Flanker,"May 4, 1997",1.95,101,Forward,France
Francois Cros,Toulouse,Back-row,"March 25, 1994",1.91,95,Forward,France
Alexandre Fischer,Castres,Flanker,"January 19, 1998",1.88,103,Forward,France
Sekou Macalou,Stade Francais,Back-row,"April 20, 1995",1.96,108,Forward,France
Charles Ollivon,Touloun,Back-row,"May 11, 1993",1.96,108,Forward,France
Selevasio Tolofua,Toulouse,"Flanker, No. 8","May 31, 1997",1.86,100,Forward,France
Cameron Woki,Bordeaux,Flanker,"November 7, 1998",1.96,105,Forward,France
Antoine Dupont,Toulouse,Scrum-half,"November 15, 1996",1.75,82,Back,France
Maxime Lucu,Bordeaux,Scrum-half,"January 12, 1993",1.77,79,Back,France
Baptiste Serin,Bordeaux,Scrum-half,"June 20, 1994",1.8,76,Back,France
Louis Carbonel,Touloun,Fly-half,"February 4, 1999",1.77,88,Back,France
Matthieu Jalibert,Bordeaux,Fly-half,"November 6, 1998",1.77,79,Back,France
Romain Ntamack,Toulouse,Fly-half,"May 1, 1999",1.85,81,Back,France
Gael Fickou,Stade Francais,Centre,"March 26, 1994",1.91,90,Back,France
Julien Heriteau,Agen,Centre,"September 12, 1994",1.82,88,Back,France
Virimi Vakatawa,Racing 92,Centre,"May 1, 1992",1.85,92,Back,France
Arthur Vincent,Montpellier,Centre,"September 30, 1999",1.83,88,Back,France
